Povesti;Mihai Eminescu,Ion Caragiale,Ion Creanga;1973;Corint;povesti,povestiri
Poezii;Sadoveanu;1973;Corint;poezii
Enigma Otiliei;George Calinescu;1948;Litera;enigma,otilia
Dale carnavalului;Caragiale Ion;1948;Litera;caragiale,carnaval
Intampinarea crailor;Mateiu Caragiale;1948;Litera;mateiu,crailor
Test;Calinescu,Tetica;1992;Pipa;am,casa
Povesti;Mihai Eminescu,Ion Caragiale,Ion Creanga,Tudor;1990;Corint;povesti,povestiri
ana;are;2000;mere;bune
Moara;Ioan;12;car;cu
as;ds;12;3;a
ioan;asa;123;gh;jk
as;as;1;asd;f
ana;as,as;0;as;a
as;ads,as;2;rt;df
a;ds;12;fsd;fer
Morometii;Ion Creanga,Marin Preda;1980;Corint;pamant,salcam
Morometii;Ion Creanga,Marin Preda;1980;Corint;pamant,salcam
Morometii;Ion Creanga,Marin Preda;1980;Corint;pamant,salcam
Morometii;Ion Creanga,Marin Preda;1980;Corint;pamant,salcam
Morometii;Ion Creanga,Marin Preda;1980;Corint;pamant,salcam
Morometii;Ion Creanga,Marin Preda;1980;Corint;pamant,salcam
Morometii;Ion Creanga,Marin Preda;1980;Corint;pamant,salcam
Luceafrul;Mihai Eminescu;1970;Luceafarul;;luceafar
Luceafrul;Mihai Eminescu;1970;Luceafarul;;luceafar
Luceafrul;Mihai Eminescu;1970;Luceafarul;;luceafar
Luceafrul;Mihai Eminescu;1970;Luceafarul;;luceafar
Luceafrul;Mihai Eminescu;1970;Luceafarul;luceafar
Luceafrul;Mihai Eminescu;1970;Luceafarul;luceafar
Luceafrul;Mihai Eminescu;1970;Luceafarul;luceafar
Luceafrul;Mihai Eminescu;1970;L;luceafar
L;Mihai Eminescu;1970;Luceafarul;luceafar
